Rep #,Time (hours),"Diameter (mm), 2s","Diameter (mm), 1s","Diameter (mm), p5s"
1,0,63,62.38,N/A
1,1,62.91,64,N/A
1,2,64.88,64,N/A
1,3,65.33,64.97,N/A
1,4,64.67,63.64,N/A
1,5,64.33,64.47,18.41
1,6,64,65.67,23.43
1,7,63.67,63.52,28.57
1,8,64.33,63.28,28.53
1,9,65.33,64.17,36.95
1,10,65.67,64.03,37.16
1,11,64.57,65.45,49.09
1,12,66.33,64.47,56.99
1,13,66.78,65.68,57.84
1,14,64.57,65.35,59.93
1,15,65.56,67.33,60.4
1,16,65.56,67.33,63.25
1,17,66,67.33,66.22
1,18,65.89,68.35,67.01
1,19,65.78,66.44,71.96
1,20,66.78,65.56,69.44
1,21,65.12,N/A,N/A
1,22,64.21,N/A,N/A
1,23,63.67,N/A,N/A
1,24,64.55,N/A,N/A
1,63.67,N/A,N/A,
1,64.55,N/A,N/A,
2,0,N/A,N/A,N/A
2,1,23.76,N/A,N/A
2,2,28.05,29.5,N/A
2,3,30.46,35.98,33.83
2,4,31.91,41.26,35.52
2,5,33.55,41.64,43.99
2,6,40.59,42.25,43.43
2,7,43.42,45.75,48.04
2,8,43.42,44.67,53.48
2,9,41.59,50.35,56.78
2,10,42.95,52.76,56.83
2,11,45.55,52.17,57.05
2,12,46.03,54.95,57.76
2,13,46.2,54.58,64.2
2,14,49.34,63.95,68.46
2,15,52.32,65.96,67.6
2,16,62.83,65.53,67.59
2,17,62.91,64.47,71.57
2,18,65.68,66.89,75.53
2,19,69.41,67.12,77.94
2,20,71.38,67.59,77.62
2,21,N/A,N/A,N/A
2,22,75.08,67.67,84.21
2,23,77.89,67.57,88.53
2,24,77.73,N/A,N/A
3,0,25.09,N/A,N/A
3,1,34.33,N/A,N/A
3,2,37.79,N/A,N/A
3,3,39.07,25.34,N/A
3,4,39.54,29.06,N/A
3,5,41.47,30.85,24.83
3,6,44.82,38.64,38.13
3,7,47.33,42.37,40.86
3,8,49.5,44.41,41.26
3,9,51.67,45.67,47.1
3,10,52.84,46.62,49.16
3,11,52.98,47.26,50.84
3,12,54,52.07,53.47
3,13,59.2,54.61,55
3,14,61.46,57.43,55.74
3,15,67.67,58.11,58.64
3,16,67.11,66.67,61.97
3,17,73.09,69.1,69.42
3,18,74.09,69.28,73.33
3,19,74.67,69.49,74.48
3,20,75.67,69.68,77.85
3,21,75.75,69.22,78.47
3,22,75.08,69.45,78.2
3,23,78.26,69.79,78.23
3,24,78.45,70.11,N/A
